"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","05-01-0107","Allyl chloride","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.26","1","HRL","30","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","05-01-0107","Allyl chloride","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.26","1","HRL","30","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-12-2018","8260B","Volatile Organics by CGC/MS","05-01-0107","Allyl chloride","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.26","1","HRL","30","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","05-01-0107","Allyl chloride","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.26","1","HRL","30","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-04-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.047","0.2","HRL","1","ug/L","","Y","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-12-2018","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.047","0.2","HRL","1","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.047","0.2","HRL","1","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.047","0.2","HRL","1","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.047","0.2","HRL","1","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.047","0.2","HRL","1","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.047","0.2","HRL","1","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-04-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl isobutyl ketone (MIBK)","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.98","5","HRL","300","ug/L","","Y","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl isobutyl ketone (MIBK)","Volatile","Volatile Organics","","ug/L","Estimated","N","Below Reporting Limit","0.98","5","HRL","300","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl isobutyl ketone (MIBK)","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.98","5","HRL","300","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl isobutyl ketone (MIBK)","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.98","5","HRL","300","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl isobutyl ketone (MIBK)","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.98","5","HRL","300","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-12-2018","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl isobutyl ketone (MIBK)","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.98","5","HRL","300","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","10-01-0108","Methyl isobutyl ketone (MIBK)","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.98","5","HRL","300","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-04-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.22","1","HBV","30","ug/L","","Y","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.22","1","HBV","30","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.22","1","HBV","30","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.22","1","HBV","30","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.22","1","HBV","30","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.22","1","HBV","30","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-12-2018","8260B","Volatile Organics by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.22","1","HBV","30","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-04-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.2","1","","","","","Y","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.2","1","","","","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.2","1","","","","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.2","1","","","","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.2","1","","","","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.2","1","","","","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-12-2018","8260B","Volatile Organics by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.2","1","","","","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-04-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.26","1","HBV","70","ug/L","","Y","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.26","1","HBV","70","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.26","1","HBV","70","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.26","1","HBV","70","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-12-2018","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.26","1","HBV","70","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","Estimated","N","Below Reporting Limit","0.26","1","HBV","70","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.26","1","HBV","70","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-04-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.19","1","MCL","100","ug/L","","Y","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.19","1","MCL","100","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.19","1","MCL","100","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.19","1","MCL","100","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.19","1","MCL","100","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.19","1","MCL","100","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-03-2018","Wtr-Ground","Water","12-12-2018","8260B","Volatile Organics by CGC/MS","108-90-7","Chlorobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.19","1","MCL","100","ug/L","","N","Y","04-09-2023"
"SR0000373","1753","Superfund","Hmong Shopping Center/Pilgrim Cleaners","2001002542","Well","Well-Temporary","45.060415","-93.30391","847","","60","12-04-2018","Wtr-Ground","Water","12-11-2018","8260B","Volatile Organics by CGC/MS","109-99-9","Tetrahydrofuran (THF)","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","2.2","10","HRL","600","ug/L","","Y","Y","04-09-2023"
